Opportunity_ID,Scheme,Course_Name,Skill_Category,Required_Skills,District,State,Eligibility,Duration,Provider,Type,Source_URL
TN_NM_001,Naan Mudhalvan,Corporate Accounting,Accounting,Accounting; Financial Statements,Tamil Nadu,Tamil Nadu,Students in eligible Tamil Nadu Arts & Science colleges,45 hours,TNSDC – Naan Mudhalvan,Training,https://portal.naanmudhalvan.tn.gov.in/pdfs/EOI/2026-27_odd_arts.pdf
TN_NM_002,Naan Mudhalvan,Advanced Tally with GST,Accounting / Taxation,Tally; Accounting; GST,Tamil Nadu,Tamil Nadu,Students in eligible Tamil Nadu Arts & Science colleges,45 hours,TNSDC – Naan Mudhalvan,Training,https://portal.naanmudhalvan.tn.gov.in/pdfs/EOI/2026-27_odd_arts.pdf
TN_NM_003,Naan Mudhalvan,Income Tax & GST,Taxation,Income Tax; GST; Tax Compliance,Tamil Nadu,Tamil Nadu,Students in eligible Tamil Nadu Arts & Science colleges,45 hours,TNSDC – Naan Mudhalvan,Training,https://portal.naanmudhalvan.tn.gov.in/pdfs/EOI/2026-27_odd_arts.pdf
TN_NM_004,Naan Mudhalvan,Banking & Back Office Operation,Banking / BFSI,Banking Operations; Back Office Operations; Customer Service,Tamil Nadu,Tamil Nadu,Students in eligible Tamil Nadu Arts & Science colleges,45 hours,TNSDC – Naan Mudhalvan,Training,https://portal.naanmudhalvan.tn.gov.in/pdfs/EOI/2026-27_odd_arts.pdf
TN_NM_005,Naan Mudhalvan,Retail banking & Wealth Management,Banking / BFSI,Retail Banking; Customer Service; Financial Services,Tamil Nadu,Tamil Nadu,Students in eligible Tamil Nadu Arts & Science colleges,45 hours,TNSDC – Naan Mudhalvan,Training,https://portal.naanmudhalvan.tn.gov.in/pdfs/EOI/2026-27_odd_arts.pdf
TN_NM_006,Naan Mudhalvan,Operational Logistic,Logistics,Logistics Operations; Inventory Management; Supply Chain,Tamil Nadu,Tamil Nadu,Students in eligible Tamil Nadu Arts & Science colleges,45 hours,TNSDC – Naan Mudhalvan,Training,https://portal.naanmudhalvan.tn.gov.in/pdfs/EOI/2026-27_odd_arts.pdf
TN_NM_007,Naan Mudhalvan,Fundamentals of Web Development,IT / Software,HTML; CSS; Web Development; JavaScript,Tamil Nadu,Tamil Nadu,Students in eligible Tamil Nadu Arts & Science colleges,45 hours,TNSDC – Naan Mudhalvan,Training,https://portal.naanmudhalvan.tn.gov.in/pdfs/EOI/2026-27_odd_arts.pdf
TN_NM_008,Naan Mudhalvan,UI / UX Design,Design / IT,UI Design; UX Design; Wireframing,Tamil Nadu,Tamil Nadu,Students in eligible Tamil Nadu Arts & Science colleges,45 hours,TNSDC – Naan Mudhalvan,Training,https://portal.naanmudhalvan.tn.gov.in/pdfs/EOI/2026-27_odd_arts.pdf
TN_NM_009,Naan Mudhalvan,Data Science with Python,Data / IT,Python; Data Analysis; Data Science,Tamil Nadu,Tamil Nadu,Students in eligible Tamil Nadu Arts & Science colleges,45 hours,TNSDC – Naan Mudhalvan,Training,https://portal.naanmudhalvan.tn.gov.in/pdfs/EOI/2026-27_odd_arts.pdf
TN_NM_010,Naan Mudhalvan,Cyber Security,Cybersecurity / IT,Cybersecurity; Network Security; Security Fundamentals,Tamil Nadu,Tamil Nadu,Students in eligible Tamil Nadu Arts & Science colleges,45 hours,TNSDC – Naan Mudhalvan,Training,https://portal.naanmudhalvan.tn.gov.in/pdfs/EOI/2026-27_odd_arts.pdf
