Opportunity_ID,Course_Name,Required_Skills,Mapping_Type,Note,Official_Source_URL
TN_NM_001,Corporate Accounting,Accounting; Financial Statements,CURATED_FOR_MVP,"The official 2026-27 TNSDC document confirms the course name; the skill list is a prototype matching taxonomy, not a verbatim government field.",https://portal.naanmudhalvan.tn.gov.in/pdfs/EOI/2026-27_odd_arts.pdf
TN_NM_002,Advanced Tally with GST,Tally; Accounting; GST,CURATED_FOR_MVP,"The official 2026-27 TNSDC document confirms the course name; the skill list is a prototype matching taxonomy, not a verbatim government field.",https://portal.naanmudhalvan.tn.gov.in/pdfs/EOI/2026-27_odd_arts.pdf
TN_NM_003,Income Tax & GST,Income Tax; GST; Tax Compliance,CURATED_FOR_MVP,"The official 2026-27 TNSDC document confirms the course name; the skill list is a prototype matching taxonomy, not a verbatim government field.",https://portal.naanmudhalvan.tn.gov.in/pdfs/EOI/2026-27_odd_arts.pdf
TN_NM_004,Banking & Back Office Operation,Banking Operations; Back Office Operations; Customer Service,CURATED_FOR_MVP,"The official 2026-27 TNSDC document confirms the course name; the skill list is a prototype matching taxonomy, not a verbatim government field.",https://portal.naanmudhalvan.tn.gov.in/pdfs/EOI/2026-27_odd_arts.pdf
TN_NM_005,Retail banking & Wealth Management,Retail Banking; Customer Service; Financial Services,CURATED_FOR_MVP,"The official 2026-27 TNSDC document confirms the course name; the skill list is a prototype matching taxonomy, not a verbatim government field.",https://portal.naanmudhalvan.tn.gov.in/pdfs/EOI/2026-27_odd_arts.pdf
TN_NM_006,Operational Logistic,Logistics Operations; Inventory Management; Supply Chain,CURATED_FOR_MVP,"The official 2026-27 TNSDC document confirms the course name; the skill list is a prototype matching taxonomy, not a verbatim government field.",https://portal.naanmudhalvan.tn.gov.in/pdfs/EOI/2026-27_odd_arts.pdf
TN_NM_007,Fundamentals of Web Development,HTML; CSS; Web Development; JavaScript,CURATED_FOR_MVP,"The official 2026-27 TNSDC document confirms the course name; the skill list is a prototype matching taxonomy, not a verbatim government field.",https://portal.naanmudhalvan.tn.gov.in/pdfs/EOI/2026-27_odd_arts.pdf
TN_NM_008,UI / UX Design,UI Design; UX Design; Wireframing,CURATED_FOR_MVP,"The official 2026-27 TNSDC document confirms the course name; the skill list is a prototype matching taxonomy, not a verbatim government field.",https://portal.naanmudhalvan.tn.gov.in/pdfs/EOI/2026-27_odd_arts.pdf
TN_NM_009,Data Science with Python,Python; Data Analysis; Data Science,CURATED_FOR_MVP,"The official 2026-27 TNSDC document confirms the course name; the skill list is a prototype matching taxonomy, not a verbatim government field.",https://portal.naanmudhalvan.tn.gov.in/pdfs/EOI/2026-27_odd_arts.pdf
TN_NM_010,Cyber Security,Cybersecurity; Network Security; Security Fundamentals,CURATED_FOR_MVP,"The official 2026-27 TNSDC document confirms the course name; the skill list is a prototype matching taxonomy, not a verbatim government field.",https://portal.naanmudhalvan.tn.gov.in/pdfs/EOI/2026-27_odd_arts.pdf
