id,title,company,domain,district,location,salary_range,lat,lng,source_label,source_url,description,badges,posted_days_ago
opp_001,Junior Python Developer,Zoho Corporation,Software Development,Chennai,"Chennai, TN (On-site)",INR 4.5L - 6.5L / yr,12.8398,80.0442,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,Develop automated data processing tools and backend modules using Python and PostgreSQL.,Verified Employer;High Demand;Fresher Friendly,1
opp_002,Python Automation Engineer,Cognizant Technology Solutions,Software Development,Coimbatore,"Coimbatore, TN (Hybrid)",INR 4.8L - 7.0L / yr,11.0168,76.9558,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,Build end-to-end automated testing harnesses and script enterprise integration pipelines in Python.,Immediate Joining;District Eligible,2
opp_003,Python Backend Intern,Freshworks Inc,Software Development,Chennai,"Chennai, TN (Hybrid)",INR 3.6L - 5.0L / yr,12.9756,80.2206,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,Assist our core platform team building scalable microservices in Python with relational datastores.,Internship to PPO;Verified Employer,3
opp_004,Java Backend Developer,Tata Consultancy Services (TCS),Software Development,Chennai,"Chennai, TN (On-site)",INR 4.2L - 6.8L / yr,13.0827,80.2707,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,"Develop core enterprise banking services using Java, Spring Boot architecture, and SQL databases.",Verified Employer;Large Enterprise,4
opp_005,Java Software Engineer,Infosys,Software Development,Bangalore,"Bangalore, KA (Hybrid)",INR 5.0L - 7.5L / yr,12.9716,77.5946,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,Build resilient backends in Java with efficient algorithmic data structures and Git workflows.,Verified Employer;Fast Track,5
opp_006,Java & Cloud Associate,Wipro Technologies,Software Development,Hyderabad,"Hyderabad, TS (On-site)",INR 4.5L - 6.2L / yr,17.385,78.4867,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,Implement cloud-hosted Java services and manage database connectivity across AWS environments.,District Eligible;Certified Partner,6
opp_007,Associate Software Engineer (Python / Java),LTIMindtree,Software Development,Chennai,"Chennai, TN (Hybrid)",INR 4.8L - 7.2L / yr,13.0118,80.2337,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,Work across bilingual microservice stacks leveraging Python scripts and Java enterprise services.,High Match Potential;Verified Employer,7
opp_008,Polyglot Backend Developer,HCL Technologies,Software Development,Madurai,"Madurai, TN (On-site)",INR 4.0L - 6.0L / yr,9.9252,78.1198,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,Maintain backend APIs and integrations using a combined toolkit of Python and Java services.,District Eligible;Tier-2 Tech Hub,8
opp_009,Frontend React Developer,Kissflow,Web Development,Chennai,"Chennai, TN (Hybrid)",INR 5.0L - 8.0L / yr,12.9815,80.244,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,Craft responsive web interfaces and reusable React component architectures with modern CSS.,Product Company;Verified Employer,9
opp_010,Web Developer Intern,Chargebee,Web Development,Chennai,"Chennai, TN (On-site)",INR 3.6L - 5.4L / yr,12.9902,80.2173,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,Implement accessible user interfaces and web layouts collaborating with senior UI engineers.,Fresher Friendly;Immediate Joining,10
opp_011,Full Stack Developer Intern,Postman India,Web Development,Bangalore,"Bangalore, KA (Remote)",INR 6.0L - 9.0L / yr,12.9716,77.5946,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,Deliver full-stack web applications connecting React frontends with Node.js and SQL APIs.,Remote Eligible;High Growth,11
opp_012,Junior Full Stack Engineer,Swiggy,Web Development,Bangalore,"Bangalore, KA (Hybrid)",INR 7.5L - 11.0L / yr,12.9352,77.6245,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,"Scale customer-facing web applications using TypeScript, React, and asynchronous microservices.",Tech Unicorn;Fast Track,12
opp_013,Web Application Developer,Kaar Technologies,Web Development,Tiruchirappalli,"Trichy, TN (On-site)",INR 3.8L - 5.5L / yr,10.7905,78.7047,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,Design and maintain customer billing and admin portal interfaces with SQL backend support.,District Eligible;Verified Employer,13
opp_014,Data Analyst Intern,Mu Sigma,Data Analytics,Bangalore,"Bangalore, KA (On-site)",INR 4.5L - 6.0L / yr,12.9866,77.738,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,"Transform raw business datasets into executive insights using Python, Pandas, and SQL queries.",Analytics Leader;Verified Employer,14
opp_015,Junior Business Analyst,LatentView Analytics,Data Analytics,Chennai,"Chennai, TN (Hybrid)",INR 5.0L - 7.5L / yr,12.9833,80.2458,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,Build automated BI dashboards and track supply-chain KPI metrics for global Fortune 500 accounts.,Verified Employer;High Demand,1
opp_016,Data Analytics Associate,Tiger Analytics,Data Analytics,Chennai,"Chennai, TN (On-site)",INR 5.5L - 8.0L / yr,12.9935,80.241,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,"Clean, aggregate, and statistically model client tabular datasets using Python and scientific libraries.",Top Workplace;Immediate Joining,2
opp_017,BI & Reporting Specialist,TVS Motor Company,Data Analytics,Hosur / Krishnagiri,"Hosur, TN (On-site)",INR 4.2L - 6.2L / yr,12.7409,77.8253,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,Extract plant manufacturing statistics and construct plant operational dashboards in Power BI and Excel.,Manufacturing Hub;District Eligible,3
opp_018,Machine Learning Intern,HyperVerge,Machine Learning,Bangalore,"Bangalore, KA (Hybrid)",INR 6.0L - 9.0L / yr,12.9352,77.6245,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,Train and evaluate classification and regression models on real-world financial verification data.,AI Startup;Fast Track,4
opp_019,AI & Computer Vision Associate,Tonbo Imaging,Machine Learning,Bangalore,"Bangalore, KA (On-site)",INR 7.0L - 10.5L / yr,12.9716,77.5946,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,Develop image processing pipelines and deploy PyTorch edge models for thermal and optical sensors.,DeepTech;Verified Employer,5
opp_020,NLP Data Engineer,Saama Technologies,Machine Learning,Chennai,"Chennai, TN (On-site)",INR 5.5L - 8.2L / yr,13.0827,80.2707,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,Extract biomedical entities and structured attributes from clinical text using Python NLP models.,Healthcare AI;District Eligible,6
opp_021,Junior Generative AI Engineer,Persistent Systems,Machine Learning,Hyderabad,"Hyderabad, TS (Hybrid)",INR 6.5L - 9.5L / yr,17.385,78.4867,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,Build RAG search architectures and integrate LLM inference endpoints with enterprise backend apps.,Cutting Edge;High Demand,7
opp_022,Cloud Support Associate,Amazon Web Services (AWS),Cloud & DevOps,Bangalore,"Bangalore, KA (Hybrid)",INR 6.0L - 8.5L / yr,12.9716,77.5946,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,"Diagnose customer cloud deployments, VPC connectivity, and compute instances across AWS regions.",Global Cloud Leader;Verified Employer,8
opp_023,Junior DevOps Engineer,Thoughtworks,Cloud & DevOps,Coimbatore,"Coimbatore, TN (On-site)",INR 5.5L - 8.0L / yr,11.0168,76.9558,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,"Automate containerized deployment pipelines, Docker configurations, and Git workflow scripts.",Engineering Excellence;District Eligible,9
opp_024,Cloud Infrastructure Intern,L&T Technology Services,Cloud & DevOps,Chennai,"Chennai, TN (On-site)",INR 4.0L - 5.8L / yr,13.0033,80.2012,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,Provision and monitor cloud VM instances and write Python administrative automation utilities.,Engineering Hub;Verified Employer,10
opp_025,Android Developer Intern,Zoho Creator Team,Mobile Development,Tenkasi,"Tenkasi / Tirunelveli, TN (On-site)",INR 4.0L - 6.0L / yr,8.9594,77.3152,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,Build intuitive Android mobile experiences for our low-code creator suite using Kotlin and Java.,Rural Tech Hub;Verified Employer,11
opp_026,Flutter App Developer,Kavida.ai,Mobile Development,Bangalore,"Bangalore, KA (Remote)",INR 5.0L - 7.5L / yr,12.9716,77.5946,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,Deliver performant cross-platform iOS and Android supplier management apps using Flutter.,Remote Work;High Impact,12
opp_027,SQL Database Administrator Trainee,CAMS (Computer Age Management Services),Database,Chennai,"Chennai, TN (On-site)",INR 3.8L - 5.2L / yr,13.0583,80.2486,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,"Monitor relational database transaction logs, maintain backup routines, and execute DDL/DML scripts.",Financial Infrastructure;District Eligible,13
opp_028,Database Developer Associate,Karvy Fintech,Database,Hyderabad,"Hyderabad, TS (On-site)",INR 4.0L - 5.8L / yr,17.385,78.4867,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,Write complex SQL stored procedures and optimize query indexes for high-volume mutual fund queries.,Fintech Hub;Verified Employer,14
opp_029,Junior Cybersecurity Analyst,Quick Heal Technologies,Cybersecurity,Bangalore,"Bangalore, KA (Hybrid)",INR 4.8L - 7.0L / yr,12.9716,77.5946,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,"Review endpoint security logs, investigate intrusion telemetry, and enforce firewall policies.",Security Operations;Verified Employer,1
opp_030,Network Support Engineer,Airtel Enterprise,Networking,Chennai,"Chennai, TN (On-site)",INR 3.6L - 5.0L / yr,13.0827,80.2707,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,"Troubleshoot leased-line IP routing, switch configurations, and business network uptime.",Telecom Leader;District Eligible,2
opp_031,Junior UI/UX Designer,CRED,UI/UX,Bangalore,"Bangalore, KA (On-site)",INR 6.0L - 9.0L / yr,12.9716,77.5946,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,"Design high-fidelity component layouts, interactive micro-animations, and prototype design systems in Figma.",Design Centric;Verified Employer,3
opp_032,Web & UI Designer,Matrimony.com Ltd,UI/UX,Chennai,"Chennai, TN (Hybrid)",INR 4.2L - 6.0L / yr,13.0033,80.2012,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,Translate user research insights into responsive customer onboarding flows and design tokens.,Consumer Web;District Eligible,4
opp_033,Apparel Quality Assurance (QA) Supervisor,Arvind Fashions Ltd,Vocational & Operations,Tiruvallur,"Tiruvallur / Chennai, TN (On-site)",INR 4.5L - 6.2L / yr,13.1432,79.9088,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,Supervise garment finishing and seam tolerances on production lines against buyer tech packs.,Verified Employer;High Demand;NSQF Level 5,5
opp_034,Garment Production Floor Coordinator,Shahi Exports Pvt Ltd,Vocational & Operations,Tirupur,"Tirupur, TN (On-site)",INR 4.2L - 5.8L / yr,11.1085,77.3411,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,"Coordinate stitching line schedules, track roll consumption, and ensure operator productivity.",Immediate Joining;District Eligible,6
opp_035,Senior Retail Operations & Inventory Lead,Fabindia Overseas,Vocational & Operations,Chennai,"Chennai, TN (On-site)",INR 3.8L - 5.2L / yr,13.0827,80.2707,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,"Supervise showroom inventory audit, customer engagement, POS transactions, and merchandise display.",Verified Employer;Retail Excellence,7
