skill_id,canonical_name,category,aliases
S001,Accounting,Accounting,"bookkeeping, corporate accounting, keeping books, ledger management, accountant"
S002,Financial Statements,Accounting,"balance sheets, profit and loss, P&L, financial reporting, income statements"
S003,Tally,Accounting,"tally erp, tally prime, tally software, accounting software"
S004,GST,Taxation,"goods and services tax, gst filing, gst returns, indirect tax"
S005,Income Tax,Taxation,"income tax return, itr, direct tax, taxation, tax filing"
S006,Tax Compliance,Taxation,"tax regulations, tax laws, compliance, corporate tax"
S007,Banking Operations,Banking,"bank operations, teller operations, branch banking, banking procedures"
S008,Back Office Operations,Banking,"back office, backend operations, clerical work, administrative operations"
S009,Customer Service,Customer Service,"handle customers, customer handling, dealing with customers, customer support, client servicing"
S010,Retail Banking,Banking,"personal banking, retail branches, consumer banking"
S011,Financial Services,Finance,"wealth management, financial planning, investment services"
S012,Logistics Operations,Logistics,"logistics, freight management, transport operations, shipment handling"
S013,Inventory Management,Logistics,"manage stock, stock management, inventory handling, warehouse management, stock taking"
S014,Supply Chain,Logistics,"supply chain management, scm, sourcing, procurement"
S015,Web Development,Web Development,"web design, website creation, web programming, frontend development"
S016,HTML,Web Development,"html5, hyper text markup language, web markup"
S017,CSS,Web Development,"cascading style sheets, web styling, css3"
S018,JavaScript,Web Development,"js, vanilla js, frontend scripting, ecmascript"
S019,UI Design,UI/UX,"user interface design, visual design, ui"
S020,UX Design,UI/UX,"user experience, user research, ux, user journeys"
S021,Wireframing,UI/UX,"mockups, prototyping, layout design, wireframes"
S022,Python,Programming,"python programming, python scripting, python 3"
S023,Data Analysis,Data Science,"data analytics, data processing, analyzing data"
S024,Data Science,Data Science,"machine learning, data modeling, statistical analysis"
S025,Cybersecurity,Cybersecurity,"information security, infosec, cyber defense"
S026,Network Security,Cybersecurity,"firewalls, network defense, securing networks"
S027,Security Fundamentals,Cybersecurity,"basic security, security concepts, IT security"
